0.002*1*1*0.5*0.5*0			//Tama�o pixel, 2*tama�o plano y 3*observador
Luz*0.5*0.9*2*1		//Foco luz(3*posicion,potencia)
Esfera*101*0.5*2*100*3*127*0*0			//Pared derecha(3*posicion,radio,tipo,3*color)
Esfera*0.5*101*2*100*3*0*127*0			//Pared arriba(3*posicion,radio,tipo,3*color)
Esfera*-100*0.5*2*100*3*0*0*127			//Pared izquierda(3*posicion,radio,3*color)
Esfera*0.5*-100*2*100*3*127*127*0			//Pared abajo(3*posicion,radio,tipo,3*color)
Esfera*0.5*0.5*103.5*100*3*120*150*200			//Pared fondo(3*posicion,radio,tipo,3*color)
Esfera*0.5*0.5*-100.01*100*3*0*0*0		//Pared fondo(3*posicion,radio,tipo,3*color)
Esfera*0.5*0.5*2.3*0.1*0*0*100*0*100*255			//Phong(3*posicion,radio,tipo,3*color)
Esfera*0.75*0.75*2.7*0.15*0*255*255*0*100*255			//Phong(3*posicion,radio,tipo,3*color)
Esfera*0.2*0.2*2.2*0.05*0*170*255*120*100*255			//Phong(3*posicion,radio,tipo,3*color)
Esfera*0.6*0.4*2.2*0.05*0*0*255*180*100*255			//Phong(3*posicion,radio,tipo,3*color)
Esfera*0.8*0.3*2.09*0.06*0*200*180*50*100*255			//Phong(3*posicion,radio,tipo,3*color)
Esfera*0.4*0.1*2.1*0.1*0*0*0*250*100*255			//Phong(3*posicion,radio,tipo,3*color)
Esfera*0.6*0.1*2.2*0.1*0*250*0*0*100*255			//Phong(3*posicion,radio,tipo,3*color)
